Arguments are...
log_dir: ./test_run
sdf_dir: data/intra_gsm_clean
split_path: data/intra_gsm_clean/splits/split0.npy
n_epochs: 100
warmup_epochs: 2
batch_size: 64
mini_batch: 4
lr: 0.001
num_workers: 2
hidden_dim: 100
depth: 3
n_layers: 2
optimizer: adam
scheduler: plateau
verbose: True

Model parameters are:
node_dim: 26
edge_dim: 2
hidden_dim: 100
depth: 3
n_layers: 2


Optimizer parameters are:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Scheduler state dict is:
factor: 0.7
min_lrs: [1e-05]
patience: 5
verbose: False
cooldown: 0
cooldown_counter: 0
mode: min
threshold: 0.0001
threshold_mode: rel
best: inf
num_bad_epochs: 0
mode_worse: inf
eps: 1e-08
last_epoch: 0

Starting training...
Parameter Norm: 44.03821010840034	 Gradient Norm: 10.00000278089395	 Loss: 2.4383692741394043
Parameter Norm: 44.86193282608817	 Gradient Norm: 9.999998014734588	 Loss: 0.07746516168117523
Parameter Norm: 44.86259183673517	 Gradient Norm: 10.000000384626983	 Loss: 0.08778750896453857
Parameter Norm: 44.863366744249674	 Gradient Norm: 10.000002978742488	 Loss: 0.07913154363632202
Parameter Norm: 44.86424085957543	 Gradient Norm: 4.950651344912203	 Loss: 0.09112686663866043
Parameter Norm: 44.86514176620303	 Gradient Norm: 9.999999775179901	 Loss: 0.08165234327316284
Parameter Norm: 44.865753299509656	 Gradient Norm: 10.000003715399682	 Loss: 0.10085374116897583
Parameter Norm: 44.86616582835559	 Gradient Norm: 10.00000102564529	 Loss: 0.08736392110586166
Parameter Norm: 44.86642694493607	 Gradient Norm: 7.915747827453721	 Loss: 0.09601596742868423
Parameter Norm: 44.866771662415	 Gradient Norm: 10.000000222673355	 Loss: 0.07690270990133286
Parameter Norm: 44.86727238938398	 Gradient Norm: 10.000002148420476	 Loss: 0.10435379296541214
Parameter Norm: 44.86790636305403	 Gradient Norm: 9.999999797899548	 Loss: 0.10586952418088913
Parameter Norm: 44.8686735071411	 Gradient Norm: 10.000001943095508	 Loss: 0.09041804820299149
Parameter Norm: 44.86956216088486	 Gradient Norm: 10.000000203123406	 Loss: 0.09390311688184738
Parameter Norm: 44.87014266923706	 Gradient Norm: 9.99999988094366	 Loss: 0.08943670988082886
Parameter Norm: 44.87053572404173	 Gradient Norm: 9.999997994053345	 Loss: 0.0884808674454689
Parameter Norm: 44.87073447543183	 Gradient Norm: 10.00000348363693	 Loss: 0.09636016190052032
Parameter Norm: 44.870821736406974	 Gradient Norm: 10.000002319117216	 Loss: 0.094342902302742
Parameter Norm: 44.871069005902115	 Gradient Norm: 10.000001691969429	 Loss: 0.10551060736179352
Parameter Norm: 44.871446606209176	 Gradient Norm: 10.00000076425272	 Loss: 0.09027531743049622
Parameter Norm: 44.8719820409268	 Gradient Norm: 10.000000270488385	 Loss: 0.0798867717385292
Epoch 11: Training Loss 0.038334467350614104
Epoch 11: Validation Loss 0.03853544347861883
Parameter Norm: 44.87269289276579	 Gradient Norm: 9.999998915202513	 Loss: 0.08267438411712646
Parameter Norm: 44.87315106239388	 Gradient Norm: 9.999999565935472	 Loss: 0.11781501770019531
Parameter Norm: 44.87335335587341	 Gradient Norm: 10.000002287778111	 Loss: 0.09810230135917664
Parameter Norm: 44.8733501171862	 Gradient Norm: 2.583121024712046	 Loss: 0.06606030464172363
Parameter Norm: 44.873283029934626	 Gradient Norm: 9.873663743623608	 Loss: 0.06830089539289474
Parameter Norm: 44.87349467662265	 Gradient Norm: 4.950047316876906	 Loss: 0.09230974316596985
Parameter Norm: 44.87387994465551	 Gradient Norm: 10.00000153111229	 Loss: 0.0992809608578682
Parameter Norm: 44.874275002873894	 Gradient Norm: 10.000000008137874	 Loss: 0.08528261631727219
Parameter Norm: 44.87490999139483	 Gradient Norm: 9.999999455605789	 Loss: 0.09936708211898804
Parameter Norm: 44.875717062413095	 Gradient Norm: 10.000000064514298	 Loss: 0.0875764712691307
Parameter Norm: 44.876669912605024	 Gradient Norm: 3.3266085202802294	 Loss: 0.06916026026010513
Parameter Norm: 44.87791588563601	 Gradient Norm: 10.000002640242002	 Loss: 0.11935883015394211
Parameter Norm: 44.87884182830248	 Gradient Norm: 9.999997109051883	 Loss: 0.09125563502311707
Parameter Norm: 44.879450218686564	 Gradient Norm: 9.999999241786247	 Loss: 0.11013060808181763
Parameter Norm: 44.87981369113553	 Gradient Norm: 9.999999795847938	 Loss: 0.10577043890953064
Parameter Norm: 44.87997444102111	 Gradient Norm: 1.88221700352422	 Loss: 0.077736496925354
Parameter Norm: 44.880075485606575	 Gradient Norm: 9.999999236341235	 Loss: 0.07396840304136276
Parameter Norm: 44.88029065441251	 Gradient Norm: 10.000000429030804	 Loss: 0.08004515618085861
Parameter Norm: 44.88063630417806	 Gradient Norm: 4.980080207515142	 Loss: 0.09260179102420807
Parameter Norm: 44.88100991706434	 Gradient Norm: 9.99999974099623	 Loss: 0.08671575784683228
Parameter Norm: 44.88154169556932	 Gradient Norm: 6.727798008899149	 Loss: 0.0809236690402031
Parameter Norm: 44.882267964221725	 Gradient Norm: 9.999999856338267	 Loss: 0.07387545704841614
Parameter Norm: 44.88277347229569	 Gradient Norm: 9.999998023330026	 Loss: 0.08113974332809448
Parameter Norm: 44.88305366953208	 Gradient Norm: 10.000000454604374	 Loss: 0.09948491305112839
Parameter Norm: 44.88314043598228	 Gradient Norm: 9.999999758130112	 Loss: 0.0841425210237503
Parameter Norm: 44.88307271548466	 Gradient Norm: 10.000000124860613	 Loss: 0.08029627054929733
Parameter Norm: 44.88288155426545	 Gradient Norm: 10.000001518305389	 Loss: 0.08823026716709137
Parameter Norm: 44.88288824329492	 Gradient Norm: 9.999999952302955	 Loss: 0.11443177610635757
Parameter Norm: 44.88302344943421	 Gradient Norm: 9.999998408363433	 Loss: 0.11132509261369705
Parameter Norm: 44.88328347280412	 Gradient Norm: 9.999999217143337	 Loss: 0.10464400053024292
Parameter Norm: 44.88365741463415	 Gradient Norm: 10.000002110017734	 Loss: 0.09734883159399033
Parameter Norm: 44.88422213496022	 Gradient Norm: 8.50400632978546	 Loss: 0.07858866453170776
Parameter Norm: 44.884579333545524	 Gradient Norm: 9.999996398022864	 Loss: 0.0685131624341011
Parameter Norm: 44.88465899729114	 Gradient Norm: 9.999998423874937	 Loss: 0.07327041774988174
Parameter Norm: 44.88452979286734	 Gradient Norm: 9.999999939395535	 Loss: 0.0894162505865097
Parameter Norm: 44.88425984016276	 Gradient Norm: 9.999999357591326	 Loss: 0.07843906432390213
Parameter Norm: 44.88419228954039	 Gradient Norm: 10.000002222337056	 Loss: 0.08521459996700287
Parameter Norm: 44.8843418621022	 Gradient Norm: 3.3898158389129835	 Loss: 0.0752493217587471
Parameter Norm: 44.884692004320655	 Gradient Norm: 3.1767576860442097	 Loss: 0.09333284199237823
Parameter Norm: 44.88510028343109	 Gradient Norm: 9.999999262454963	 Loss: 0.09536051005125046
Parameter Norm: 44.88529461800889	 Gradient Norm: 9.999998815790757	 Loss: 0.06118365004658699
Parameter Norm: 44.88568620221462	 Gradient Norm: 10.00000145312238	 Loss: 0.07100141793489456
Parameter Norm: 44.8863909403243	 Gradient Norm: 9.999998944792013	 Loss: 0.07499460130929947
Parameter Norm: 44.88693220121669	 Gradient Norm: 9.999998988365695	 Loss: 0.09473970532417297
Parameter Norm: 44.887274369298126	 Gradient Norm: 10.000000969207592	 Loss: 0.08126882463693619
Parameter Norm: 44.88742050548563	 Gradient Norm: 8.422455580264685	 Loss: 0.09785711765289307
Parameter Norm: 44.8875503135201	 Gradient Norm: 10.000000400522879	 Loss: 0.08488767594099045
Parameter Norm: 44.88785853594143	 Gradient Norm: 10.00000172917263	 Loss: 0.09477698802947998
Parameter Norm: 44.888288126722856	 Gradient Norm: 10.00000277644786	 Loss: 0.09317023307085037
Parameter Norm: 44.88883023391042	 Gradient Norm: 10.00000049673129	 Loss: 0.11993725597858429
Parameter Norm: 44.88946215876528	 Gradient Norm: 9.999998444607858	 Loss: 0.08070893585681915
Parameter Norm: 44.890074077993305	 Gradient Norm: 9.999999985730138	 Loss: 0.08122304826974869
Parameter Norm: 44.89037204313921	 Gradient Norm: 10.000001539256871	 Loss: 0.09266941994428635
Parameter Norm: 44.890371162158196	 Gradient Norm: 9.999999769032382	 Loss: 0.0946294367313385
Parameter Norm: 44.8901348149719	 Gradient Norm: 9.999999089113512	 Loss: 0.09190818667411804
Parameter Norm: 44.88968722832294	 Gradient Norm: 1.9109869543468054	 Loss: 0.07461769878864288
Parameter Norm: 44.889243961512236	 Gradient Norm: 9.999999923613212	 Loss: 0.05515477806329727
Parameter Norm: 44.889092471719735	 Gradient Norm: 10.000002059448741	 Loss: 0.08441147208213806
Parameter Norm: 44.889261687301286	 Gradient Norm: 9.999997173225475	 Loss: 0.07925694435834885
Parameter Norm: 44.88968712513903	 Gradient Norm: 9.999997967720098	 Loss: 0.06737972050905228
Parameter Norm: 44.88999341059682	 Gradient Norm: 10.000001617767964	 Loss: 0.07701226323843002
Parameter Norm: 44.89010333695253	 Gradient Norm: 10.000001308756982	 Loss: 0.08299893140792847
Parameter Norm: 44.890456933542616	 Gradient Norm: 10.000000532753427	 Loss: 0.10291097313165665
Parameter Norm: 44.89060459732885	 Gradient Norm: 9.999998239480977	 Loss: 0.0990738645195961
Parameter Norm: 44.89056766348914	 Gradient Norm: 9.999997928920697	 Loss: 0.11323907226324081
Parameter Norm: 44.89080884035371	 Gradient Norm: 9.999999543352489	 Loss: 0.07214359939098358
Parameter Norm: 44.891253460429574	 Gradient Norm: 10.000000066862148	 Loss: 0.08140204101800919
Parameter Norm: 44.891546188349395	 Gradient Norm: 9.999998960082952	 Loss: 0.0730440691113472
Parameter Norm: 44.89203898358097	 Gradient Norm: 9.99999863218268	 Loss: 0.0788835659623146
Parameter Norm: 44.89236806535442	 Gradient Norm: 8.57926827686435	 Loss: 0.07371445000171661
Parameter Norm: 44.89257235200171	 Gradient Norm: 9.999999996752322	 Loss: 0.10020772367715836
Parameter Norm: 44.892941209503476	 Gradient Norm: 9.999998808583497	 Loss: 0.09702809154987335
Parameter Norm: 44.89335303174172	 Gradient Norm: 9.999999017507486	 Loss: 0.09315793216228485
Parameter Norm: 44.89390381607903	 Gradient Norm: 10.000000089167335	 Loss: 0.10254357010126114
Parameter Norm: 44.894569465984375	 Gradient Norm: 9.9999997200839	 Loss: 0.06949381530284882
Parameter Norm: 44.89538411028204	 Gradient Norm: 10.000000423738621	 Loss: 0.06860063970088959
Parameter Norm: 44.8959074190246	 Gradient Norm: 10.000001770580823	 Loss: 0.08274070173501968
Parameter Norm: 44.89617111729628	 Gradient Norm: 10.000000181391869	 Loss: 0.07490365952253342
Parameter Norm: 44.896242267362005	 Gradient Norm: 10.000000187050826	 Loss: 0.06253001093864441
Parameter Norm: 44.896303168626304	 Gradient Norm: 9.999997836649252	 Loss: 0.07300052791833878
Parameter Norm: 44.89659104189543	 Gradient Norm: 10.000001596228419	 Loss: 0.08554454892873764
Parameter Norm: 44.89703731490576	 Gradient Norm: 10.000001560479621	 Loss: 0.08723017573356628
Parameter Norm: 44.89760505275659	 Gradient Norm: 9.999999950222557	 Loss: 0.08414729684591293
Parameter Norm: 44.898310430990854	 Gradient Norm: 9.999999752812679	 Loss: 0.09135767817497253
Parameter Norm: 44.89874937974796	 Gradient Norm: 4.420219175497441	 Loss: 0.08280159533023834
Parameter Norm: 44.8990419325089	 Gradient Norm: 9.999997817247124	 Loss: 0.07580182701349258
Parameter Norm: 44.899137119839466	 Gradient Norm: 9.999999247261357	 Loss: 0.11551667004823685
Parameter Norm: 44.899110802867476	 Gradient Norm: 9.999998929214826	 Loss: 0.08226365596055984
Parameter Norm: 44.899303526299036	 Gradient Norm: 10.00000160995655	 Loss: 0.08813019096851349
Parameter Norm: 44.89973900052502	 Gradient Norm: 10.000004052898214	 Loss: 0.07220572978258133
Parameter Norm: 44.900428183235455	 Gradient Norm: 10.000001218512608	 Loss: 0.08427953720092773
Parameter Norm: 44.901019517042485	 Gradient Norm: 9.999999046054342	 Loss: 0.08054987341165543
Parameter Norm: 44.901413547660994	 Gradient Norm: 9.999998621984751	 Loss: 0.08336405456066132
Parameter Norm: 44.90175000515082	 Gradient Norm: 3.7103928704871736	 Loss: 0.09254173934459686
Parameter Norm: 44.90234954880524	 Gradient Norm: 10.000000462101944	 Loss: 0.08225629478693008
Parameter Norm: 44.90309693862192	 Gradient Norm: 9.999997874328471	 Loss: 0.07552216947078705
Parameter Norm: 44.90391421395892	 Gradient Norm: 10.000000491376099	 Loss: 0.08094184845685959
Parameter Norm: 44.904849100381085	 Gradient Norm: 9.999999946205403	 Loss: 0.08001016080379486
Parameter Norm: 44.90541134724023	 Gradient Norm: 9.999998276531631	 Loss: 0.06618307530879974
Parameter Norm: 44.90566323416808	 Gradient Norm: 4.700431629479877	 Loss: 0.088407002389431
Parameter Norm: 44.90590870558989	 Gradient Norm: 1.1524878440768513	 Loss: 0.07475852966308594
Parameter Norm: 44.90632184079094	 Gradient Norm: 9.999996879784078	 Loss: 0.07609018683433533
Parameter Norm: 44.90698128692573	 Gradient Norm: 9.999998736329712	 Loss: 0.06693502515554428
Parameter Norm: 44.907486926189705	 Gradient Norm: 9.999996478027581	 Loss: 0.09020910412073135
Parameter Norm: 44.907885734903196	 Gradient Norm: 3.467086906041551	 Loss: 0.062228452414274216
Parameter Norm: 44.90847519359692	 Gradient Norm: 10.000000569567469	 Loss: 0.07480299472808838
Epoch 12: Training Loss 0.036618792570180095
Epoch 12: Validation Loss 0.04046626562554397
Parameter Norm: 44.9089568925305	 Gradient Norm: 9.999999041007854	 Loss: 0.07913537323474884
Parameter Norm: 44.90959346925097	 Gradient Norm: 9.999996462762594	 Loss: 0.08126068860292435
Parameter Norm: 44.91044004847679	 Gradient Norm: 9.999998778515764	 Loss: 0.06710277497768402
Parameter Norm: 44.911410315614454	 Gradient Norm: 7.4905637995992	 Loss: 0.08558627218008041
Parameter Norm: 44.91254766846862	 Gradient Norm: 10.000001505660471	 Loss: 0.09477489441633224
Parameter Norm: 44.913372149772506	 Gradient Norm: 9.999999306485975	 Loss: 0.10379930585622787
Parameter Norm: 44.913937924959626	 Gradient Norm: 10.000001900366694	 Loss: 0.099891297519207
Parameter Norm: 44.91421158503881	 Gradient Norm: 9.999997223155011	 Loss: 0.0823545902967453
Parameter Norm: 44.91426774819125	 Gradient Norm: 10.00000269478031	 Loss: 0.08009041845798492
Parameter Norm: 44.91418680387053	 Gradient Norm: 9.999999367071243	 Loss: 0.08424593508243561
Parameter Norm: 44.91427981149974	 Gradient Norm: 10.00000011605212	 Loss: 0.09800642728805542
Parameter Norm: 44.914513298640394	 Gradient Norm: 10.00000024674975	 Loss: 0.09539547562599182
Parameter Norm: 44.9148625380588	 Gradient Norm: 9.999999793400587	 Loss: 0.10952205955982208
Parameter Norm: 44.91535422827686	 Gradient Norm: 2.953947608906828	 Loss: 0.09461426734924316
Parameter Norm: 44.91594825991957	 Gradient Norm: 8.243842136928457	 Loss: 0.06837280839681625
Parameter Norm: 44.916649600439776	 Gradient Norm: 10.000001381723703	 Loss: 0.08318690210580826
Parameter Norm: 44.9171418169148	 Gradient Norm: 10.000002873740687	 Loss: 0.0797656700015068
Parameter Norm: 44.91737629352819	 Gradient Norm: 10.000000739981827	 Loss: 0.13266268372535706
Parameter Norm: 44.91741970757971	 Gradient Norm: 9.99999926752934	 Loss: 0.09303469955921173
Parameter Norm: 44.917203920507035	 Gradient Norm: 9.999998695535474	 Loss: 0.0781538337469101
Parameter Norm: 44.91691590811954	 Gradient Norm: 10.000000884135318	 Loss: 0.09221098572015762
Parameter Norm: 44.91685219459213	 Gradient Norm: 9.999998733616334	 Loss: 0.07628779113292694
Parameter Norm: 44.91694524487948	 Gradient Norm: 9.999998544853117	 Loss: 0.09868493676185608
Parameter Norm: 44.91720281672905	 Gradient Norm: 9.999998387656298	 Loss: 0.07595758140087128
Parameter Norm: 44.918793443495176	 Gradient Norm: 10.000002465595472	 Loss: 0.0777033269405365
Parameter Norm: 44.920890085027004	 Gradient Norm: 7.590546247930907	 Loss: 0.10182355344295502
Parameter Norm: 44.922924212518396	 Gradient Norm: 10.00000114312451	 Loss: 0.09047483652830124
Parameter Norm: 44.92469279190708	 Gradient Norm: 10.00000217829981	 Loss: 0.10435575246810913
Parameter Norm: 44.926332103015596	 Gradient Norm: 10.000000057799367	 Loss: 0.09695439785718918
Parameter Norm: 44.92784033832748	 Gradient Norm: 10.000001208081981	 Loss: 0.09096509218215942
Parameter Norm: 44.92948783111452	 Gradient Norm: 10.00000032667924	 Loss: 0.11551426351070404
Parameter Norm: 44.9312104980937	 Gradient Norm: 10.000002033729585	 Loss: 0.11242707073688507
Parameter Norm: 44.93304980077044	 Gradient Norm: 9.999999796962385	 Loss: 0.09647678583860397
Parameter Norm: 44.934950293888186	 Gradient Norm: 10.000000988119103	 Loss: 0.08906546235084534
Parameter Norm: 44.93652366156797	 Gradient Norm: 9.999999284847554	 Loss: 0.11894430965185165
Parameter Norm: 44.937751780917814	 Gradient Norm: 9.999999053648011	 Loss: 0.0974058285355568
Parameter Norm: 44.938686164175344	 Gradient Norm: 10.00000174549174	 Loss: 0.10196256637573242
Parameter Norm: 44.939391148848216	 Gradient Norm: 9.999999032276838	 Loss: 0.08488478511571884
Parameter Norm: 44.94024814200344	 Gradient Norm: 3.8389421237161097	 Loss: 0.07961319386959076
Parameter Norm: 44.94097736568688	 Gradient Norm: 9.999999639149758	 Loss: 0.10516681522130966
Parameter Norm: 44.9418748717335	 Gradient Norm: 10.000001980033373	 Loss: 0.09204655140638351
Parameter Norm: 44.94286468559934	 Gradient Norm: 9.999998503849056	 Loss: 0.10237067937850952
Parameter Norm: 44.94399695894009	 Gradient Norm: 9.999999079364962	 Loss: 0.0774838775396347
Parameter Norm: 44.944842767124086	 Gradient Norm: 9.999999925047831	 Loss: 0.08214498311281204
Parameter Norm: 44.94543975569002	 Gradient Norm: 9.999998654525035	 Loss: 0.07850474119186401
Parameter Norm: 44.94584852267592	 Gradient Norm: 9.999998141308788	 Loss: 0.08040092140436172
Parameter Norm: 44.94609147425086	 Gradient Norm: 10.000003294928973	 Loss: 0.08546072989702225
Parameter Norm: 44.94655532399194	 Gradient Norm: 9.999999475660475	 Loss: 0.07248735427856445
Parameter Norm: 44.94713389769285	 Gradient Norm: 10.000001044564616	 Loss: 0.09542549401521683
Parameter Norm: 44.947868162904065	 Gradient Norm: 10.000001388005321	 Loss: 0.08591961860656738
Parameter Norm: 44.94875499204647	 Gradient Norm: 9.999999729847364	 Loss: 0.10358656942844391
Parameter Norm: 44.94942030236154	 Gradient Norm: 9.999998991686084	 Loss: 0.10931868106126785
Parameter Norm: 44.949853594564885	 Gradient Norm: 10.000001484063203	 Loss: 0.09765815734863281
Parameter Norm: 44.95005670320766	 Gradient Norm: 7.543115396327479	 Loss: 0.07617872953414917
Parameter Norm: 44.95053741918261	 Gradient Norm: 5.9706184656980135	 Loss: 0.07712842524051666
Parameter Norm: 44.95116418578263	 Gradient Norm: 9.999997782329245	 Loss: 0.07765242457389832
Parameter Norm: 44.951650522748956	 Gradient Norm: 9.999999155128904	 Loss: 0.07118348032236099
Parameter Norm: 44.952368295042746	 Gradient Norm: 10.000000089253225	 Loss: 0.07246781885623932
Parameter Norm: 44.953237349149084	 Gradient Norm: 9.999999470328827	 Loss: 0.08334769308567047
Parameter Norm: 44.953874889767775	 Gradient Norm: 10.000000307104672	 Loss: 0.08628403395414352
Parameter Norm: 44.95427231510353	 Gradient Norm: 5.870846573887965	 Loss: 0.08449339866638184
Parameter Norm: 44.95482035629519	 Gradient Norm: 10.000000028320212	 Loss: 0.09349096566438675
Parameter Norm: 44.955307278550116	 Gradient Norm: 9.999999665095931	 Loss: 0.0887739434838295
Parameter Norm: 44.955995598250716	 Gradient Norm: 9.999999505701892	 Loss: 0.0873103216290474
Parameter Norm: 44.956903344833414	 Gradient Norm: 4.837734347498374	 Loss: 0.09366029500961304
Parameter Norm: 44.957671345509574	 Gradient Norm: 9.999997877092255	 Loss: 0.06813681870698929
Parameter Norm: 44.95874742493172	 Gradient Norm: 10.000000386064105	 Loss: 0.10080521553754807
Parameter Norm: 44.961677508009046	 Gradient Norm: 9.999999411461621	 Loss: 0.07768426835536957
Parameter Norm: 44.96630599681746	 Gradient Norm: 9.999996927724403	 Loss: 0.10623522102832794
Parameter Norm: 44.971724549735335	 Gradient Norm: 9.948480308366655	 Loss: 0.09597627073526382
Parameter Norm: 44.977840876643235	 Gradient Norm: 6.791233177912209	 Loss: 0.07805919647216797
Parameter Norm: 44.98452728614886	 Gradient Norm: 9.999999041403967	 Loss: 0.09113047271966934
Parameter Norm: 44.99163944266092	 Gradient Norm: 9.999999435288018	 Loss: 0.09287694841623306
Parameter Norm: 44.99890879067784	 Gradient Norm: 10.000000660246553	 Loss: 0.1007794439792633
Parameter Norm: 45.005873841337795	 Gradient Norm: 10.000000802553595	 Loss: 0.10528441518545151
Parameter Norm: 45.01237224927311	 Gradient Norm: 9.999998739485203	 Loss: 0.08599942922592163
Parameter Norm: 45.01835843652483	 Gradient Norm: 10.000001467446019	 Loss: 0.10721292346715927
Parameter Norm: 45.02425969800166	 Gradient Norm: 2.5469514099223987	 Loss: 0.09233894944190979
Parameter Norm: 45.02985491750427	 Gradient Norm: 9.999998578183408	 Loss: 0.10631189495325089
Parameter Norm: 45.03544457355598	 Gradient Norm: 9.999997013814928	 Loss: 0.1003294587135315
Parameter Norm: 45.04088149699554	 Gradient Norm: 7.411369533090159	 Loss: 0.08765464276075363
Parameter Norm: 45.04599958895106	 Gradient Norm: 10.000000308100587	 Loss: 0.09568580985069275
Parameter Norm: 45.05056304505517	 Gradient Norm: 9.999999196251908	 Loss: 0.07878241688013077
Parameter Norm: 45.05461037477202	 Gradient Norm: 1.837380786277605	 Loss: 0.08440066128969193
Parameter Norm: 45.05838553724522	 Gradient Norm: 9.999997317615339	 Loss: 0.09872705489397049
Parameter Norm: 45.062092192631454	 Gradient Norm: 10.00000167565745	 Loss: 0.08388393372297287
Parameter Norm: 45.065721686530104	 Gradient Norm: 9.83159895882421	 Loss: 0.10474816709756851
Parameter Norm: 45.069213850090364	 Gradient Norm: 7.400330644529245	 Loss: 0.09070668369531631
Parameter Norm: 45.07230099248905	 Gradient Norm: 10.00000255585126	 Loss: 0.08857585489749908
Parameter Norm: 45.07536403288529	 Gradient Norm: 10.000000538071145	 Loss: 0.10030966252088547
Parameter Norm: 45.07838070879086	 Gradient Norm: 9.999998549434919	 Loss: 0.0940081775188446
Parameter Norm: 45.08094295092258	 Gradient Norm: 9.999998191002561	 Loss: 0.10224735736846924
Parameter Norm: 45.08305110721641	 Gradient Norm: 9.99999843566533	 Loss: 0.10008659958839417
Parameter Norm: 45.08485310148959	 Gradient Norm: 9.999998877925796	 Loss: 0.09429235756397247
Parameter Norm: 45.08671169829641	 Gradient Norm: 10.000002416456297	 Loss: 0.11404959857463837
Parameter Norm: 45.088663246902804	 Gradient Norm: 9.999998746042502	 Loss: 0.09318941086530685
Parameter Norm: 45.09068014873503	 Gradient Norm: 4.420879369122207	 Loss: 0.11417479068040848
Parameter Norm: 45.092569461866134	 Gradient Norm: 7.695321656582658	 Loss: 0.08938610553741455
Parameter Norm: 45.09410586669995	 Gradient Norm: 9.93627447029635	 Loss: 0.09792428463697433
Parameter Norm: 45.095430286096594	 Gradient Norm: 9.999993364966276	 Loss: 0.10390625149011612
Parameter Norm: 45.09668593315294	 Gradient Norm: 9.999999059648449	 Loss: 0.0971311554312706
Parameter Norm: 45.098048177922124	 Gradient Norm: 9.99999800151364	 Loss: 0.1140509843826294
Parameter Norm: 45.09948806394266	 Gradient Norm: 10.00000127843935	 Loss: 0.09636984765529633
Parameter Norm: 45.100992529037946	 Gradient Norm: 10.000000923526844	 Loss: 0.0972682535648346
Parameter Norm: 45.10254901576377	 Gradient Norm: 5.511425536623543	 Loss: 0.07586175948381424
Parameter Norm: 45.104259005600575	 Gradient Norm: 10.00000309221473	 Loss: 0.12223269790410995
Epoch 13: Training Loss 0.038100940455139926
Epoch 13: Validation Loss 0.04298469683707878
Parameter Norm: 45.10559951302409	 Gradient Norm: 10.000001299449979	 Loss: 0.1364007443189621
Parameter Norm: 45.1065759381609	 Gradient Norm: 9.999999654834482	 Loss: 0.10419701039791107
Parameter Norm: 45.10717297296168	 Gradient Norm: 10.00000144039339	 Loss: 0.09872198849916458
Parameter Norm: 45.107457716019276	 Gradient Norm: 10.00000141934498	 Loss: 0.08462423831224442
Parameter Norm: 45.10748862146837	 Gradient Norm: 4.037738378496716	 Loss: 0.09518757462501526
Parameter Norm: 45.10777419309245	 Gradient Norm: 9.999999401610374	 Loss: 0.09467348456382751
Parameter Norm: 45.10825899712262	 Gradient Norm: 10.000001520612166	 Loss: 0.09523991495370865
Parameter Norm: 45.10892032887014	 Gradient Norm: 9.999998428992955	 Loss: 0.09454948455095291
Parameter Norm: 45.10972489365485	 Gradient Norm: 9.999999163837057	 Loss: 0.10279861837625504
Parameter Norm: 45.1106639390622	 Gradient Norm: 10.000003779397112	 Loss: 0.08605268597602844
Parameter Norm: 45.111307326193256	 Gradient Norm: 10.000001728343644	 Loss: 0.11548945307731628
Parameter Norm: 45.111697367387855	 Gradient Norm: 9.99999954699763	 Loss: 0.09428135305643082
Parameter Norm: 45.11189035054222	 Gradient Norm: 6.559910782215219	 Loss: 0.07199529558420181
Parameter Norm: 45.11215854490092	 Gradient Norm: 10.000000225783939	 Loss: 0.08969280868768692
Parameter Norm: 45.11272671389392	 Gradient Norm: 5.283769719200947	 Loss: 0.08414238691329956
Parameter Norm: 45.11344367125026	 Gradient Norm: 9.999999040664841	 Loss: 0.06365480273962021
Parameter Norm: 45.11395906708569	 Gradient Norm: 10.00000055464164	 Loss: 0.10606276243925095
Parameter Norm: 45.11428037667873	 Gradient Norm: 4.259958854324643	 Loss: 0.07939451932907104
Parameter Norm: 45.11459287887158	 Gradient Norm: 9.999998355862497	 Loss: 0.09359724074602127
Parameter Norm: 45.1152081725457	 Gradient Norm: 9.99999914875778	 Loss: 0.10108409076929092
Parameter Norm: 45.116043599107705	 Gradient Norm: 9.999998679125932	 Loss: 0.07585480064153671
Parameter Norm: 45.117028433625435	 Gradient Norm: 9.999999310911434	 Loss: 0.09983961284160614
Parameter Norm: 45.1177732531398	 Gradient Norm: 9.999998166676194	 Loss: 0.10609380155801773
Parameter Norm: 45.118332811421894	 Gradient Norm: 10.00000272645097	 Loss: 0.08788292855024338
Parameter Norm: 45.118745367205015	 Gradient Norm: 9.999999651815388	 Loss: 0.10000160336494446
Parameter Norm: 45.11907643626073	 Gradient Norm: 7.153276850990871	 Loss: 0.1074274331331253
Parameter Norm: 45.11977518135038	 Gradient Norm: 9.999999460018802	 Loss: 0.10409369319677353
Parameter Norm: 45.12083960586262	 Gradient Norm: 9.999999054485777	 Loss: 0.10252664238214493
Parameter Norm: 45.12214474138612	 Gradient Norm: 9.999999266726517	 Loss: 0.11205402761697769
Parameter Norm: 45.1236440628854	 Gradient Norm: 9.999999599865232	 Loss: 0.09606344252824783
Parameter Norm: 45.125290947984155	 Gradient Norm: 10.000000663740963	 Loss: 0.11526300758123398
Parameter Norm: 45.12662761424963	 Gradient Norm: 10.000001028812289	 Loss: 0.12307535111904144
Parameter Norm: 45.12765675017502	 Gradient Norm: 9.999999844972232	 Loss: 0.11805729568004608
Parameter Norm: 45.12839678330145	 Gradient Norm: 9.999998059222941	 Loss: 0.11631353199481964
Parameter Norm: 45.12892046651797	 Gradient Norm: 2.905725127530419	 Loss: 0.08584475517272949
